Type,Ignore,First,Second,Third,Value,StdDev,InstHeight,TargHeight,,,
A,,BW87,BW79,BW80,14.0348,5,1.677,0.5,,,
A,,BW87,BW79,BW44,67.2523,5,1.677,1.681,,,
A,,BW87,BW79,STN4,61.4015,5,1.677,1.665,,,
A,,BW87,BW79,STN1,62.4555,5,1.677,1.515,,,
A,,BW87,BW79,CORS,51.0429,5,1.677,0,,,
A,,BW44,BW87,BW80,82.3730,5,1.698,0.5,,,
A,,BW44,BW87,BW78,94.2056,5,1.698,0.5,,,
A,,BW44,BW87,BW68,203.4651,5,1.698,0.5,,,
A,,BW44,BW87,CORS,153.4020,5,1.698,0,,,
A,,BW44,BW87,BW53,202.2549,5,1.698,1.587,,,
A,,BW68,BW44,BW53,177.4011,5,1.682,1.559,,,
A,,BW68,BW44,BW54,125.5851,5,1.682,0.5,,,
A,,BW68,BW44,STN1,139.1436,5,1.682,1.515,,,
A,,BW53,BW68,BW54,42.1350,5,1.575,0.5,,,
A,,BW53,BW68,STN1,113.3859,5,1.575,1.515,,,
A,,BW53,BW68,BW52,77.3140,5,1.575,0.5,,,
A,,BW53,BW68,SPIKE2,119.1927,5,1.575,0.5,,,
A,,BW53,BW68,SPIKE3,144.0857,5,1.575,0.5,,,
A,,BW54,BW68,STN4,196.5808,5,1.705,1.665,,,
A,,BW54,BW68,STN1,200.0224,5,1.705,1.515,,,
A,,BW54,BW68,BW52,254.1944,5,1.705,0.5,,,
A,,BW54,BW68,BW53,273.5520,5,1.705,1.559,,,
A,,BW54,BW68,SPIKE1,76.2218,5,1.705,0.5,,,
A,,BW54,BW68,BW69B,80.0443,5,1.705,0.5,,,
A,,BW54,BW68,BW51,199.5553,5,1.705,0.5,,,
A,,BW54,BW68,BW55,144.0141,5,1.705,0.5,,,
A,,SPIKE1,BW54,BW69B,350.1421,5,1.623,0.5,,,
A,,SPIKE1,BW54,CORS,298.3913,5,1.623,0,,,
A,,SPIKE2,BW53,BW35,250.5913,5,1.615,0.5,,,
A,,SPIKE2,BW53,BW36,275.1303,5,1.615,0.5,,,
A,,SPIKE2,BW53,STN1,170.0116,5,1.615,1.515,,,
A,,SPIKE2,BW53,BW40,59.3953,5,1.615,0.5,,,
A,,SPIKE2,BW53,BW38,239.0136,5,1.615,0.5,,,
A,,BW36,SPIKE2,BW35,54.1218,5,1.703,0.5,,,
A,,BW36,SPIKE2,SPIKE3,68.5039,5,1.703,0.5,,,
A,,BW36,SPIKE2,STN1,44.4832,5,1.703,1.515,,,
A,,SPIKE3,BW53,BW35,336.0315,5,1.654,0.5,,,
A,,SPIKE3,BW53,BW36,319.1428,5,1.654,0.5,,,
A,,SPIKE3,BW53,STN1,101.1601,5,1.654,1.515,,,
A,,SPIKE3,BW53,BW32,220.3944,5,1.654,0.5,,,
A,,SPIKE3,BW53,SPIKE4,220.5336,5,1.654,0.5,,,
A,,SPIKE3,BW53,RIV,152.0842,5,1.654,0.5,,,
A,,SPIKE3,BW53,TP10,137.0708,5,1.654,0,,,
A,,SPIKE4,SPIKE3,STN1,29.0357,5,1.639,1.515,,,
A,,SPIKE4,SPIKE3,SPIKE5,83.5855,5,1.639,0.5,,,
A,,SPIKE4,SPIKE3,BW20,125.0546,5,1.639,0.5,,,
A,,SPIKE4,SPIKE3,BW18,116.0115,5,1.639,0.5,,,
A,,SPIKE4,SPIKE3,BW15,198.2953,5,1.639,0.5,,,
A,,SPIKE4,SPIKE3,BW28,314.4511,5,1.639,0.5,,,
A,,SPIKE4,SPIKE3,BW32,0.1611,5,1.639,0.5,,,
A,,SPIKE5,SPIKE4,RIV,27.3158,5,1.597,1.525,,,
A,,SPIKE5,SPIKE4,SPIKE6,85.5542,5,1.597,0.5,,,
A,,SPIKE5,SPIKE4,TRIG,58.2007,5,1.597,0.5,,,
A,,SPIKE5,SPIKE4,BW23,27.3621,5,1.597,0.5,,,
A,,SPIKE5,SPIKE4,BW22,96.4651,5,1.597,0.5,,,
A,,SPIKE6,SPIKE5,TRIG,99.0059,5,1.6,0,,,
A,,SPIKE6,SPIKE5,TP02,180.1003,5,1.6,0.5,,,
A,,SPIKE6,SPIKE5,TP03,180.2617,5,1.6,0.5,,,
A,,TP03,SPIKE6,TRIG,42.0335,5,1.624,0,,,
A,,TP03,SPIKE6,TP04,178.5247,5,1.624,0.5,,,
A,,TP03,SPIKE6,SCRATCH,161.1900,5,1.624,0.5,,,
A,,SCRATCH,TP03,TP04,214.1145,5,1.58,0.5,,,
A,,SCRATCH,TP03,STN4,55.4007,5,1.58,1.665,,,
A,,SCRATCH,TP03,TRIG,44.4143,5,1.58,0,,,
A,,TP04,TP03,TP05,180.5500,5,1.637,0.5,,,
A,,TP04,TP03,BW64,149.4719,5,1.637,0.5,,,
A,,TP05,TP04,BW64,68.1941,5,1.61,0.5,,,
A,,TP05,TP04,CORS,53.5335,5,1.61,0,,,
A,,TP05,TP04,BW74,141.0725,5,1.61,0.5,,,
A,,TP05,TP04,TP06,169.0522,5,1.61,0.5,,,
A,,BW74,TP05,BW80,178.2641,5,1.585,0.5,,,
A,,BW74,TP05,SPIKE7,176.0835,5,1.585,0.5,,,
A,,BW74,TP05,BW79,242.4056,5,1.585,1.705,,,
A,,BW79,BW74,SPIKE7,66.5239,5,1.72,0.5,,,
A,,SPIKE7,BW79,BW87,190.1034,5,1.627,0.5,,,
A,,SPIKE7,BW79,BW78,85.2206,5,1.627,0.5,,,
A,,SPIKE7,BW79,BW80,43.1958,5,1.627,0.5,,,
A,,SPIKE7,BW79,STN4,82.0602,5,1.627,1.665,,,
A,,BW80,SPIKE7,BW79,114.2213,5,1.677,0.5,,,
A,,BW80,SPIKE7,STN4,223.3610,5,1.677,1.665,,,
A,,BW80,SPIKE7,BW78,266.5946,5,1.677,0.5,,,
A,,BW87,BW79,SPIKE7,4.5524,5,1.707,1.61,,,
A,,BW87,BW79,BW80,14.0349,5,1.707,0.5,,,
A,,BW87,BW79,STN4,61.4026,5,1.707,1.665,,,
A,,BW87,BW79,STN1,62.4606,5,1.707,1.515,,,
V,,BW87,BW79,,89.5543,5,1.677,0.5,,,
V,,BW87,BW80,,90.2421,5,1.677,0.5,,,
V,,BW87,BW44,,90.2409,5,1.677,1.681,,,
V,,BW87,STN4,,86.2129,5,1.677,1.665,,,
V,,BW87,STN1,,86.2529,5,1.677,1.515,,,
V,,BW87,CORS,,87.1416,5,1.677,0,,,
V,,BW44,BW87,,89.3641,5,1.698,1.66,,,
V,,BW44,BW80,,90.0929,5,1.698,0.5,,,
V,,BW44,BW78,,90.2748,5,1.698,0.5,,,
V,,BW44,BW68,,90.5353,5,1.698,0.5,,,
V,,BW44,CORS,,85.2929,5,1.698,0,,,
V,,BW44,BW53,,90.1700,5,1.698,1.587,,,
V,,BW68,BW44,,90.0532,5,1.682,0.5,,,
V,,BW68,BW53,,90.1208,5,1.682,1.559,,,
V,,BW68,BW54,,89.0920,5,1.682,0.5,,,
V,,BW68,STN1,,83.2545,5,1.682,1.515,,,
V,,BW53,BW68,,89.4832,5,1.575,1.665,,,
V,,BW53,BW54,,89.0136,5,1.575,0.5,,,
V,,BW53,STN1,,80.1301,5,1.575,1.515,,,
V,,BW53,BW52,,90.2841,5,1.575,0.5,,,
V,,BW53,SPIKE2,,88.5425,5,1.575,0.5,,,
V,,BW53,SPIKE3,,89.2854,5,1.575,0.5,,,
V,,BW54,BW68,,91.5508,5,1.705,0.5,,,
V,,BW54,STN4,,80.3805,5,1.705,1.665,,,
V,,BW54,STN1,,80.5539,5,1.705,1.515,,,
V,,BW54,BW52,,92.1842,5,1.705,0.5,,,
